Model,Accuracy,AUC
Random Forest,0.75,0.7916666666666666
Gradient Boosting,0.7380952380952381,0.7905092592592592
XGBoost,0.6428571428571429,0.7196180555555555
Neural Network,0.6071428571428571,0.642361111111111
SVM (RBF),0.5952380952380952,0.609375
LightGBM,0.5952380952380952,0.6744791666666667
Logistic Regression,0.5119047619047619,0.5966435185185184
