Size,Wasserstein Distance,KS Statistic,P-Value,Separable
2,0.05338541666666667,0.4444444444444444,0.35170711641299873,False
3,231.5642361111111,0.4444444444444444,0.35170711641299873,False
4,2297.2725694444443,0.4,0.26527490546874044,False
5,22312.609852430556,0.6,0.022308153550581872,True
